Author,Year,N,non-infection/ICI,non-infection/ICI,ALT,N1,non-infection/control,OR,L,U,AEType1
Eng_Ate,2019,1,89,90,2,78,80,0.4444444,0.04107061,4.809543,TEAE
Powles,2020,4,340,344,1,344,345,4.011628,0.4506543,35.71065,TEAE
Reck,2016,3,475,478,1,475,476,2.987448,0.3118502,28.61901,TRAE
Rini,2019,0,429,429,1,424,425,0.4953596,0.04508355,5.442809,TEAE
Socinski,2018,2,391,393,1,393,394,2.005089,0.1825482,22.02368,TRAE
Ribas,2013,1,324,325,0,319,319,1.963303,0.1789002,21.54585,TRAE
Dent,2024,1,292,293,0,294,294,2.00678,0.1829492,22.01248,TRAE
Finn,2020,2,327,329,0,156,156,1.432024,0.1501419,13.65837,TEAE
Yau,2025,1,331,332,1,324,325,0.9789157,0.061486,15.58527,TRAE
Yang,2021,1,133,134,0,129,129,1.926471,0.1767907,20.99255,TRAE
Kelley,2022,1,428,429,0,395,395,1.842227,0.1676881,20.23877,TRAE
Janjigian,2025,14,461,475,11,458,469,1.256651,0.5764414,2.739517,TEAE
Sangro,2025,3,151,154,3,197,200,1.298701,0.2657728,6.346116,TEAE
Sangro,2025,3,229,232,3,197,200,0.862069,0.1759528,4.223648,TEAE
Mitsudomi,2025,1,295,296,0,301,301,2.033557,0.1853737,22.30821,TEAE
